occurrence_no,record_type,reid_no,flags,collection_no,identified_name,identified_rank,identified_no,difference,accepted_name,accepted_rank,accepted_no,early_interval,late_interval,max_ma,min_ma,reference_no,paleomodel,paleolng,paleolat,geoplate
1135829,occ,NA,NA,119504,Ichthyosaurus n. sp. enthekiodon,species,268069,NA,Ichthyosaurus enthekiodon,species,268069,Late Kimmeridgian,NA,155.7,150.8,46826,gp_mid,13.55,32.46,315
1135958,occ,NA,NA,53967,Ichthyosaurus trigonus,species,171432,nomen dubium,Ichthyosaurus,genus,36558,Tithonian,NA,152.1,145,46850,gp_mid,15.84,32.81,315
1136043,occ,NA,NA,144756,Ichthyosaurus sp.,genus,36558,NA,Ichthyosaurus,genus,36558,Late Callovian,NA,164.7,161.2,46850,gp_mid,20.44,34.32,315
1160925,occ,NA,NA,149244,Ophthalmosaurus sp.,genus,36566,NA,Ophthalmosaurus,genus,36566,Middle Callovian,NA,164.7,161.2,47746,gp_mid,18.58,35.99,315
1161078,occ,NA,NA,149253,Ophthalmosaurus sp.,genus,36566,NA,Ophthalmosaurus,genus,36566,Middle Callovian,NA,164.7,161.2,47746,gp_mid,18.52,35.94,315
1197008,occ,NA,NA,48856,Ichthyosauria indet.,unranked clade,267386,NA,Ichthyosauria,unranked clade,36543,Early Kimmeridgian,NA,155.7,150.8,50391,gp_mid,15.4,31.57,305
1220159,occ,NA,NA,159583,n. gen. Janusaurus n. sp. lundi,species,301635,recombined as,Arthropterygius lundi,species,301635,Tithonian,NA,152.1,145,52129,gp_mid,13.37,60.82,309
1236524,occ,NA,NA,162726,Undorosaurus n. sp. trautscholdi,species,306807,NA,Undorosaurus trautscholdi,species,306807,Late Tithonian,NA,150.8,145,52983,gp_mid,40.88,43.11,302
1263914,occ,37814,NA,167891,Arthropterygius lundi,species,432089,NA,Arthropterygius lundi,species,301635,Tithonian,NA,152.1,145,75187,gp_mid,45.92,54.01,302
1263915,occ,NA,NA,167892,Ophthalmosaurus sp.,genus,36566,NA,Ophthalmosaurus,genus,36566,Late Tithonian,Berriasian,150.8,139.8,54879,gp_mid,42.89,54.85,302
1289504,occ,NA,NA,170680,Ichthyosaurus quenstedti,species,385745,nomen dubium,Ichthyosaurus,genus,36558,Early Callovian,NA,164.7,161.2,55912,gp_mid,-24.67,-27.65,201
1289527,occ,NA,NA,172173,Ichthyosaurus sp.,genus,36558,NA,Ichthyosaurus,genus,36558,Early Callovian,NA,164.7,161.2,55912,gp_mid,-24.67,-27.65,201
1289547,occ,NA,NA,172174,Ichthyosaurus sp.,genus,36558,NA,Ichthyosaurus,genus,36558,Late Callovian,NA,164.7,161.2,55912,gp_mid,-24.67,-27.65,201
1289572,occ,NA,NA,172175,Ichthyosaurus sp.,genus,36558,NA,Ichthyosaurus,genus,36558,Oxfordian,NA,163.5,157.3,55912,gp_mid,-25.15,-29.1,201
1289580,occ,NA,NA,172176,Ichthyosaurus sp.,genus,36558,NA,Ichthyosaurus,genus,36558,Kimmeridgian,NA,157.3,152.1,55912,gp_mid,-25.85,-30.86,201
1419312,occ,NA,NA,196747,n. gen. Gengasaurus n. sp. nicosiai,species,377498,NA,Gengasaurus nicosiai,species,377498,Kimmeridgian,Tithonian,157.3,145,66993,gp_mid,30.92,17.74,307
1438003,occ,NA,NA,200649,Ophthalmosauridae indet.,family,170908,NA,Ophthalmosauridae,family,170908,Early Tithonian,NA,150.8,145,68558,gp_mid,-25.79,-43.16,291
1438005,occ,NA,NA,200650,Ichthyosauria indet.,unranked clade,389359,NA,Ichthyosauria,unranked clade,36543,Early Tithonian,NA,150.8,145,68558,gp_mid,-25.79,-43.16,291
1492004,occ,NA,NA,207509,n. gen. Acuetzpalin n. sp. carranzai,species,404054,NA,Acuetzpalin carranzai,species,404054,Kimmeridgian,NA,157.3,152.1,71507,gp_mid,-41.79,11.63,104
1492005,occ,NA,NA,207510,Arthropterygius n. sp. thalassonotus,species,404056,NA,Arthropterygius thalassonotus,species,404056,Tithonian,NA,152.1,145,71508,gp_mid,-24.71,-47.65,291
1539767,occ,NA,NA,216435,n. gen. Cryopterygius n. sp. kielanae,species,376868,NA,Cryopterygius kielanae,species,376868,Early Tithonian,NA,150.8,145,66851,gp_mid,NA,NA,coordinates not computable using this model
1539771,occ,NA,NA,216435,Ichthyosauria indet.,unranked clade,267386,NA,Ichthyosauria,unranked clade,36543,Early Tithonian,NA,150.8,145,62841,gp_mid,NA,NA,coordinates not computable using this model
1542337,occ,NA,NA,217015,Ichthyosaurus n. sp. volgensis,species,385749,recombined as,Arthropterygius volgensis,species,385749,Early Tithonian,NA,150.8,145,75187,gp_mid,NA,NA,coordinates not computable using this model
1545281,occ,NA,NA,217469,Yasykovia n. sp. kabanovi,species,381687,subjective synonym of,Nannopterygius saveljeviensis,species,170912,Tithonian,NA,152.1,145,75538,gp_mid,NA,NA,coordinates not computable using this model
1545282,occ,NA,NA,217470,Otschevia n. sp. alekseevi,species,433165,recombined as,Grendelius alekseevi,species,263107,Tithonian,NA,152.1,145,75539,gp_mid,NA,NA,coordinates not computable using this model
